,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,1988-01-01,5.641090704278465,-13.392621025019755,-1.4673281272183718,5.641090704278465,5.641090704278465,-12.969249340666233,-12.969249340666233,-12.969249340666233,0.09679060215922006,0.09679060215922006,0.09679060215922006,-13.066039942825453,-13.066039942825453,-13.066039942825453,0.0,0.0,0.0,-7.3281586363877675
1,1988-01-02,5.642858665501403,-13.286191854234838,-1.438887254216579,5.642858665501403,5.642858665501403,-12.899463354425587,-12.899463354425587,-12.899463354425587,0.01216701548446246,0.01216701548446246,0.01216701548446246,-12.911630369910048,-12.911630369910048,-12.911630369910048,0.0,0.0,0.0,-7.256604688924184
2,1988-01-03,5.644626626724339,-12.725064324921535,-0.9905068925941585,5.644626626724339,5.644626626724339,-12.544288849528757,-12.544288849528757,-12.544288849528757,0.20665935131324956,0.20665935131324956,0.20665935131324956,-12.750948200842005,-12.750948200842005,-12.750948200842005,0.0,0.0,0.0,-6.899662222804418
3,1988-01-04,5.646394587947276,-13.037295696278365,-1.3584706537931095,5.646394587947276,5.646394587947276,-12.831801046126893,-12.831801046126893,-12.831801046126893,-0.24544953647659895,-0.24544953647659895,-0.24544953647659895,-12.586351509650294,-12.586351509650294,-12.586351509650294,0.0,0.0,0.0,-7.185406458179617
4,1988-01-05,5.648162549170213,-11.837739526336685,-0.22848566859993785,5.648162549170213,5.648162549170213,-12.366695905603196,-12.366695905603196,-12.366695905603196,0.053359661159278475,0.053359661159278475,0.053359661159278475,-12.420055566762475,-12.420055566762475,-12.420055566762475,0.0,0.0,0.0,-6.7185333564329826
5,1988-01-06,5.64993051039315,-12.335475468594643,-0.8027834553718599,5.64993051039315,5.64993051039315,-12.2689095387648,-12.2689095387648,-12.2689095387648,-0.014807118264085824,-0.014807118264085824,-0.014807118264085824,-12.254102420500713,-12.254102420500713,-12.254102420500713,0.0,0.0,0.0,-6.61897902837165
6,1988-01-07,5.651698471616086,-12.60440614265873,-0.6928359035161799,5.651698471616086,5.651698471616086,-12.199056731958253,-12.199056731958253,-12.199056731958253,-0.10871997537534779,-0.10871997537534779,-0.10871997537534779,-12.090336756582907,-12.090336756582907,-12.090336756582907,0.0,0.0,0.0,-6.5473582603421665
7,1988-01-08,5.653466432839024,-11.771817465301647,-0.031207899962707432,5.653466432839024,5.653466432839024,-11.833597850982892,-11.833597850982892,-11.833597850982892,0.09679060215893759,0.09679060215893759,0.09679060215893759,-11.93038845314183,-11.93038845314183,-11.93038845314183,0.0,0.0,0.0,-6.180131418143868
8,1988-01-09,5.655234394061961,-12.152273304125075,-0.5171596814897276,5.655234394061961,5.655234394061961,-11.763495029866533,-11.763495029866533,-11.763495029866533,0.01216701548439723,0.01216701548439723,0.01216701548439723,-11.77566204535093,-11.77566204535093,-11.77566204535093,0.0,0.0,0.0,-6.108260635804572
9,1988-01-10,5.657002355284898,-12.003265179359731,-0.2883350709578697,5.657002355284898,5.657002355284898,-11.420673755368318,-11.420673755368318,-11.420673755368318,0.2066593513130893,0.2066593513130893,0.2066593513130893,-11.627333106681407,-11.627333106681407,-11.627333106681407,0.0,0.0,0.0,-5.76367140008342
10,1988-01-11,5.658770316507835,-11.739571700456109,0.0008821706223937043,5.658770316507835,5.658770316507835,-11.731800885613099,-11.731800885613099,-11.731800885613099,-0.24544953647672463,-0.24544953647672463,-0.24544953647672463,-11.486351349136374,-11.486351349136374,-11.486351349136374,0.0,0.0,0.0,-6.073030569105264
11,1988-01-12,5.660538277730772,-11.435655853328932,0.3722408692910338,5.660538277730772,5.660538277730772,-11.300090387280248,-11.300090387280248,-11.300090387280248,0.05335966115948583,0.05335966115948583,0.05335966115948583,-11.353450048439733,-11.353450048439733,-11.353450048439733,0.0,0.0,0.0,-5.639552109549476
12,1988-01-13,5.662306238953708,-11.222449435514463,0.4418155799313235,5.662306238953708,5.662306238953708,-11.243968336017327,-11.243968336017327,-11.243968336017327,-0.014807118263822933,-0.014807118263822933,-0.014807118263822933,-11.229161217753504,-11.229161217753504,-11.229161217753504,0.0,0.0,0.0,-5.581662097063618
13,1988-01-14,5.664074200176645,-10.995456128213698,0.4652571398223932,5.664074200176645,5.664074200176645,-11.222555765668089,-11.222555765668089,-11.222555765668089,-0.10871997537557955,-0.10871997537557955,-0.10871997537557955,-11.113835790292509,-11.113835790292509,-11.113835790292509,0.0,0.0,0.0,-5.5584815654914435
