ds,y
5/1/17 0:00,27.8
5/1/17 0:05,27
5/1/17 0:10,26.8
5/1/17 0:15,26.5
5/1/17 0:20,25.6
5/1/17 0:25,25
5/1/17 0:30,24.9
5/1/17 0:35,24.1
5/1/17 0:40,23.7
5/1/17 0:45,23.2
5/1/17 0:50,22.6
5/1/17 0:55,21.5
5/1/17 1:00,20.8
5/1/17 1:05,20.1
5/1/17 1:10,19.1
5/1/17 1:15,17.9
5/1/17 1:20,17.5
5/1/17 1:25,16.6
5/1/17 1:30,16.2
5/1/17 1:35,15.5
5/1/17 1:40,14.9
5/1/17 1:45,14.5
5/1/17 1:50,14.2
5/1/17 1:55,13.6
5/1/17 2:00,13.4
5/1/17 2:05,13
5/1/17 2:10,12.6
5/1/17 2:15,12.3
5/1/17 2:20,12
5/1/17 2:25,11.8
5/1/17 2:30,11.5
5/1/17 2:35,11.2
5/1/17 2:40,11.1
5/1/17 2:45,10.9
5/1/17 2:50,10.6
5/1/17 2:55,10.4
5/1/17 3:00,10.2
5/1/17 3:05,10
5/1/17 3:10,9.9
5/1/17 3:15,9.8
5/1/17 3:20,9.6
5/1/17 3:25,9.4
5/1/17 3:30,9.3
5/1/17 3:35,9.1
5/1/17 3:40,9
5/1/17 3:45,9
5/1/17 3:50,8.9
5/1/17 3:55,8.8
5/1/17 4:00,8.6
5/1/17 4:05,8.5
5/1/17 4:10,8.5
5/1/17 4:15,8.4
5/1/17 4:20,8.3
5/1/17 4:25,8.2
5/1/17 4:30,8.2
5/1/17 4:35,8.1
5/1/17 4:40,8
5/1/17 4:45,7.9
5/1/17 4:50,7.8
5/1/17 4:55,7.7
5/1/17 5:00,7.7
5/1/17 5:05,7.6
5/1/17 5:10,7.5
5/1/17 5:15,7.4
5/1/17 5:20,7.4
5/1/17 5:25,7.4
5/1/17 5:30,7.3
5/1/17 5:35,7.3
5/1/17 5:40,7
5/1/17 5:45,7
5/1/17 5:50,7
5/1/17 5:55,6.9
5/1/17 6:00,7
5/1/17 6:05,7
5/1/17 6:10,6.8
5/1/17 6:15,6.8
5/1/17 6:20,6.7
5/1/17 6:25,6.7
5/1/17 6:30,6.7
5/1/17 6:35,6.7
5/1/17 6:40,6.6
5/1/17 6:45,6.4
5/1/17 6:50,6.2
5/1/17 6:55,6.1
5/1/17 7:00,6
5/1/17 7:05,5.9
5/1/17 7:10,5.7
5/1/17 7:15,5.5
5/1/17 7:20,5.4
5/1/17 7:25,5.3
5/1/17 7:30,5.2
5/1/17 7:35,5.1
5/1/17 7:40,5
5/1/17 7:45,5
5/1/17 7:50,4.9
5/1/17 7:55,4.9
5/1/17 8:00,4.8
5/1/17 8:05,4.7
5/1/17 8:10,4.8
5/1/17 8:15,4.8
5/1/17 8:20,4.8
5/1/17 8:25,4.7
5/1/17 8:30,4.6
5/1/17 8:35,4.6
5/1/17 8:40,4.6
5/1/17 8:45,4.6
5/1/17 8:50,4.6
5/1/17 8:55,4.4
5/1/17 9:00,4.3
5/1/17 9:05,4.3
5/1/17 9:10,4.2
5/1/17 9:15,4.1
5/1/17 9:20,4
5/1/17 9:25,4
5/1/17 9:30,4.1
5/1/17 9:35,3.9
5/1/17 9:40,3.8
5/1/17 9:45,3.8
5/1/17 9:50,3.9
5/1/17 9:55,3.9
5/1/17 10:00,3.8
5/1/17 10:05,3.9
5/1/17 10:10,3.9
5/1/17 10:15,3.8
5/1/17 10:20,3.6
5/1/17 10:25,3.6
5/1/17 10:30,3.5
5/1/17 10:35,3.4
5/1/17 10:40,3.3
5/1/17 10:45,3.2
5/1/17 10:50,3.3
5/1/17 10:55,3.4
5/1/17 11:00,3.3
5/1/17 11:05,3.3
5/1/17 11:10,3.4
5/1/17 11:15,3.5
5/1/17 11:20,3.4
5/1/17 11:25,3.3
5/1/17 11:30,3.3
5/1/17 11:35,3.5
5/1/17 11:40,3.6
5/1/17 11:45,3.4
5/1/17 11:50,3.4
5/1/17 11:55,3.4
5/1/17 12:00,3.7
5/1/17 12:05,3.8
5/1/17 12:10,3.9
5/1/17 12:15,3.9
5/1/17 12:20,3.8
5/1/17 12:25,3.7
5/1/17 12:30,3.7
5/1/17 12:35,3.8
5/1/17 12:40,3.7
5/1/17 12:45,3.6
5/1/17 12:50,3.6
5/1/17 12:55,3.6
5/1/17 13:00,3.5
5/1/17 13:05,3.5
5/1/17 13:10,3.7
5/1/17 13:15,3.6
5/1/17 13:20,3.6
5/1/17 13:25,3.8
5/1/17 13:30,3.9
5/1/17 13:35,4
5/1/17 13:40,3.9
5/1/17 13:45,4
5/1/17 13:50,4
5/1/17 13:55,4
5/1/17 14:00,4.2
5/1/17 14:05,4.2
5/1/17 14:10,4.3
5/1/17 14:15,4.3
5/1/17 14:20,4.2
5/1/17 14:25,4.4
5/1/17 14:30,4.5
5/1/17 14:35,4.7
5/1/17 14:40,4.8
5/1/17 14:45,5
5/1/17 14:50,5.1
5/1/17 14:55,5.3
5/1/17 15:00,5.6
5/1/17 15:05,6
5/1/17 15:10,6.4
5/1/17 15:15,6.6
5/1/17 15:20,7.1
5/1/17 15:25,7.8
5/1/17 15:30,8.2
5/1/17 15:35,8.6
5/1/17 15:40,9.5
5/1/17 15:45,9.9
5/1/17 15:50,10.7
5/1/17 15:55,11.2
5/1/17 16:00,12.1
5/1/17 16:05,12.8
5/1/17 16:10,13.6
5/1/17 16:15,14.2
5/1/17 16:20,15
5/1/17 16:25,15.7
5/1/17 16:30,16.4
5/1/17 16:35,16.9
5/1/17 16:40,17.5
5/1/17 16:45,18.3
5/1/17 16:50,18.7
5/1/17 16:55,19.7
5/1/17 17:00,20.5
5/1/17 17:05,21.2
5/1/17 17:10,21.6
5/1/17 17:15,22.1
5/1/17 17:20,22.9
5/1/17 17:25,24.1
5/1/17 17:30,24.6
5/1/17 17:35,25.1
5/1/17 17:40,25.2
5/1/17 17:45,26
5/1/17 17:50,26.1
5/1/17 17:55,26.7
5/1/17 18:00,27.5
5/1/17 18:05,28.3
5/1/17 18:10,29
5/1/17 18:15,29.4
5/1/17 18:20,29.9
5/1/17 18:25,30.7
5/1/17 18:30,31.1
5/1/17 18:35,31.5
5/1/17 18:40,32.3
5/1/17 18:45,32.4
5/1/17 18:50,32.4
5/1/17 18:55,33.1
5/1/17 19:00,33.7
5/1/17 19:05,33.8
5/1/17 19:10,33.7
5/1/17 19:15,34.2
5/1/17 19:20,34.4
5/1/17 19:25,34.8
5/1/17 19:30,35.2
5/1/17 19:35,35.3
5/1/17 19:40,35.2
5/1/17 19:45,35.7
5/1/17 19:50,36
5/1/17 19:55,36.3
5/1/17 20:00,36.5
5/1/17 20:05,36.4
5/1/17 20:10,36
5/1/17 20:15,36.3
5/1/17 20:20,37.1
5/1/17 20:25,37
5/1/17 20:30,36.2
5/1/17 20:35,37
5/1/17 20:40,37.3
